MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.7,5.6,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/14/2018,10:02,SHER,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,7.4,,,i,BSA.YOLO-30,DK,Moderate sediment and low detritus.,cone + half sphere,159.13,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/14/2018,10:02,SHER,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,363,733,1,0.9,0.9,c,BSA.YOLO-30,DK,Moderate sediment and low detritus.,sphere,0.27,0.38,0.18,0.18,0.27,0.27,0.11,0.11,0.38,0.38,Length,0.8,0.8,0.9,0.7,0.7,0.8,0.8,0.6,0.6,0.9,0.9,0.7,0.8,0.7,1.0,0.6,0.7,0.8,0.8,0.7,0.9,0.6,0.9,0.7,0.6,0.8
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,11.1,,,i,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,cylinder,174.76,,,,,,,,,,Length,4.6,4.6,7.4,4.6,2.8,3.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.9,7.4,11.1,5.6,5.0,5.6,,,,,,,,,,,,,,,,,,,,
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1007,Ulnaria ulna,Diatom,Ulnaria,ulna,,1,1,11.7,,,i,BSA.YOLO-31,DK,Fragment. High sediment and moderate detritus. Ciliates observed.,elliptic prism,632.40,,,,,,,,,,Length,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,68,68,3.7,,,i,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,sphere,18.14,,,,,,,,,,Length,3.3,3.7,3.7,2.8,2.4,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,5,5,27.8,,,i,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,2 cones,14.11,,,,,,,,,,Length,20.7,25.9,14.8,27.8,18.5,16.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.1,0.9,0.9,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,3,3,6.5,,,i,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,prolate spheroid,55.87,,,,,,,,,,Length,4.8,6.5,4.3,3.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.7,6.1,4.3,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,6.8,,,i,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,prolate spheroid,75.34,,,,,,,,,,Length,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1352,cf. Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,16.05,,,i,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,prolate spheroid,695.91,,,,,,,,,,Length,16.1,20.4,11.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.1,10.2,8.0,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,6,6,7.4,,,i,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,cone + half sphere,124.68,,,,,,,,,,Length,6.9,6.5,7.4,5.6,7.4,7.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.3,2.8,3.1,2.4,3.7,4.3,,,,,,,,,,,,,,,,,,,,
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,429,862,1,0.9,0.9,c,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,sphere,0.18,0.27,0.38,0.27,0.18,0.11,0.11,0.18,0.38,0.38,Length,0.8,0.7,0.8,0.9,0.8,0.7,0.6,0.6,0.7,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.9,1.0,0.7,0.8,0.6,0.7,0.7,0.8,0.6,0.9
Phyto,1/30/2018,13:05,LIS,63.0,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,2,12,2.4,,,c,BSA.YOLO-31,DK,High sediment and moderate detritus. Ciliates observed.,sphere,7.24,,,,,,,,,,Length,2.4,2.4,2.4,2.4,2.4,2.4,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,2,2,14.55,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,elliptic prism,118.39,,,,,,,,,,Length,14.6,13.0,16.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,9.25,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,cylinder,342.72,,,,,,,,,,Length,5.1,4.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,9.8,8.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,25.9,,,i,BSA.YOLO-32,DK,Girdle view. Moderate sediment and low detritus. ,elliptic prism,421.48,,,,,,,,,,Length,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,693,Nitzschia dissipata,Diatom,Nitzschia,dissipata,,1,1,27.8,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,prism on parallelogram,236.58,,,,,,,,,,Length,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,13,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,prism on parallelogram,103.42,,,,,,,,,,Length,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1007,Ulnaria ulna,Diatom,Ulnaria,ulna,,2,2,20.35,,,i,BSA.YOLO-32,DK, Fragment. Moderate sediment and low detritus.,elliptic prism,385.87,,,,,,,,,,Length,20.4,25.9,14.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,7.4,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,4.4,5.6,3.1,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,48,48,3.06,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,sphere,15.00,,,,,,,,,,Length,3.1,2.4,4.6,2.4,2.8,3.1,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,24.1,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,2 cones,10.22,,,,,,,,,,Length,24.1,24.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,1,1,6.1,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,prolate spheroid,118.85,,,,,,,,,,Length,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,6.5,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,prolate spheroid,106.73,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,6,6,6.5,,,i,BSA.YOLO-32,DK,Moderate sediment and low detritus.,cone + half sphere,120.34,,,,,,,,,,Length,6.5,8.0,8.3,5.6,5.6,5.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.4,5.6,4.6,4.3,3.7,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,2/27/2018,10:17,SHR,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,366,740,1,0.9,0.9,c,BSA.YOLO-32,DK,Moderate sediment and low detritus.,sphere,0.38,0.18,0.18,0.27,0.11,0.11,0.52,0.18,0.27,0.27,Length,0.8,0.9,0.7,0.7,0.8,0.6,0.6,1.0,0.7,0.8,0.8,0.9,0.6,0.6,0.8,0.7,0.8,0.7,1.0,0.9,0.7,0.8,0.6,0.6,0.7,0.8
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,19,19,7.9,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,cylinder,227.44,,,,,,,,,,Length,4.6,4.6,5.0,4.3,5.6,3.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.9,9.3,9.3,7.4,6.1,7.4,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,60,60,3.46,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,sphere,21.69,,,,,,,,,,Length,3.5,2.8,3.7,4.3,2.8,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,5,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,ellipsoid,17.59,,,,,,,,,,Length,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,8,8,18.88,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,2 cones,9.49,,,,,,,,,,Length,18.9,18.5,14.8,22.2,20.4,18.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.0,0.9,0.9,0.9,1.3,0.9,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,8.3,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,2 cones,7.34,,,,,,,,,,Length,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1140,Monoraphidium tortile,Soft Body,Monoraphidium,tortile,,1,1,13,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,2 cones,5.51,,,,,,,,,,Length,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,3,3,5.433333333,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,prolate spheroid,70.18,,,,,,,,,,Length,5.4,3.7,6.1,6.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.0,3.7,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1895,Kephyrion spp.,Soft Body,Kephyrion,spp.,,4,4,8.175,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,prolate spheroid,175.33,,,,,,,,,,Length,8.2,8.3,8.7,8.3,7.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.4,7.4,7.4,6.5,4.3,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,1,1,2.8,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,cone + half sphere,11.49,,,,,,,,,,Length,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1352,cf. Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,17.1,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,prolate spheroid,725.24,,,,,,,,,,Length,17.1,15.7,18.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.0,8.7,9.3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,cone + half sphere,307.94,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,6,6,6.42,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,cone + half sphere,103.37,,,,,,,,,,Length,6.4,5.6,7.4,7.4,5.6,6.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.2,3.7,2.8,2.8,3.7,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,296,598,1,1,0.9,c,BSA.YOLO-33,DK,Low sediment and moderate detritus.,sphere,0.18,0.18,0.11,0.11,0.27,0.27,0.38,0.11,0.18,0.38,Length,0.7,0.7,0.7,0.6,0.6,0.8,0.8,0.9,0.6,0.7,0.9,0.8,0.8,1.0,0.6,0.6,0.8,0.7,0.8,0.7,0.9,1.0,0.6,0.7,0.8,0.6
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,19,1.14,,,f,BSA.YOLO-33,DK,Low sediment and moderate detritus.,cylinder,0.32,,,,,,,,,,Length,1.1,1.3,1.3,0.9,1.3,0.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1545,Euglena sp.,Soft Body,Euglena,sp.,,2,2,17.6,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,half ellipsoid + cone on an elliptic base,1425.67,,,,,,,,,,Length,17.6,18.5,16.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.2,9.3,13.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,9.3,7.4,11.1,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/28/2018,9:45,STTD,63.0,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1824,Strobilidium sp.,Ciliophora,Strobilidium,sp.,,1,1,38.9,,,i,BSA.YOLO-33,DK,Low sediment and moderate detritus.,prolate spheroid,30821.02,,,,,,,,,,Length,38.9,38.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,31.5,31.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,9.8,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,cylinder,176.51,,,,,,,,,,Length,4.1,4.6,4.3,4.6,3.7,3.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,9.8,7.4,8.3,6.1,5.6,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,38.9,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,prism on parallelogram,258.72,,,,,,,,,,Length,35.2,31.5,38.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.2,5.6,2.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.5,4.6,2.4,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,,Bicosoeca sp.,Soft Body,Bicosoeca,sp.,,1,1,13,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,ellipsoid,796.39,,,,,,,,,,Length,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,58,58,3.66,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,sphere,25.67,,,,,,,,,,Length,3.7,3.7,5.0,2.8,3.1,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,13,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,2 cones,24.57,,,,,,,,,,Length,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,2,2,10,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,prolate spheroid,335.10,,,,,,,,,,Length,6.1,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.9,6.1,5.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,3,3,6.8,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,cone + half sphere,104.88,,,,,,,,,,Length,6.0,4.3,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.3,4.3,5.0,6.5,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1352,cf. Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,11.1,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,prolate spheroid,439.91,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/13/2018,9:15,STTD,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,9,9,7.4,,,i,BSA.YOLO-34,DK,High sediment and moderate detritus. Ciliates observed.,cone + half sphere,123.96,,,,,,,,,,Length,6.8,6.8,5.6,7.4,7.4,6.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.4,3.7,2.8,4.6,3.7,2.4,,,,,,,,,,,,,,,,,,,,
