z,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,10/23/2015,8:20,D41A,63,3,4.76%,0.0697,314.159,1.39492998,20,75.07,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,4,6,3.7,i,BSA.10-16,JW,Low sediment and moderate detritus.,sphere,26.52,,,,,,,,,
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,3,3,16.7,i,BSA.10-17,KS,Fragment. Moderate sediment and detritus.,cylinder,718.24,,,,,,,,,
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,i,BSA.10-17,KS,Moderate sediment and detritus.,elliptic prism,551.32,,,,,,,,,
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,20.4,i,BSA.10-17,KS,Moderate sediment and detritus.,prism on parallelogram,54.26,,,,,,,,,
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,5.6,c,BSA.10-17,KS,Moderate sediment and detritus.,prolate spheroid,10.59,,,,,,,,,
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,i,BSA.10-17,KS,Moderate sediment and detritus.,cone + half sphere,337.38,,,,,,,,,
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,3,3,5.6,i,BSA.10-17,KS,Moderate sediment and detritus.,cone + half sphere,68.96,,,,,,,,,
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,386,958,0.65,c,BSA.10-17,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,1423,cf. Chroococcus sp.,Soft Body,Chroococcus,sp.,,2,2,3.7,c,BSA.10-17,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,10/20/2015,9:30,D26,63,3,4.76%,0.0697,314.159,0.767211489,11,136.49,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,11,11,5.6,i,BSA.10-17,KS,Moderate sediment and detritus.,sphere,91.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
